PlayerID,Name,wOBA
2554,Chris Parmelee,.769
12090,Yefri Perez,.707
12547,John Hicks,.621
15149,Trey Mancini,.592
5942,Jesus Sucre,.525
15464,Hunter Renfroe,.487
15580,Dariel Alvarez,.483
17005,Gavin Cecchini,.458
14523,Pedro Severino,.444
7226,Matt Davidson,.439
12983,Charlie Tilson,.439
7996,Jose Martinez,.439
15119,Jordan Patterson,.425
7620,Justin Ruggiano,.425
11442,Gary Sanchez,.425
745,David Ortiz,.419
10155,Mike Trout,.418
13499,Tom Murphy,.417
4314,Joey Votto,.413
4316,Daniel Murphy,.408
5038,Josh Donaldson,.403
5361,Freddie Freeman,.402
1744,Miguel Cabrera,.399
13047,Munenori Kawasaki,.398
15429,Kris Bryant,.396
16252,Trea Turner,.395
7859,Charlie Blackmon,.394
9874,DJ LeMahieu,.391
3473,Anthony Rizzo,.391
5417,Jose Altuve,.391
9777,Nolan Arenado,.386
6184,J.D. Martinez,.384
2434,Nelson Cruz,.383
11192,Brett Nicholas,.383
9218,Paul Goldschmidt,.382
12564,Trevor Story,.380
13611,Mookie Betts,.379
3410,Ryan Braun,.378
13723,Jacob Stallings,.376
3353,Matt Joyce,.375
8090,Matt Carpenter,.375
13359,Tyler Naquin,.374
10264,Brandon Belt,.374
2151,Edwin Encarnacion,.373
13624,Corey Seager,.372
639,Adrian Beltre,.371
5933,Jean Segura,.371
9957,Steve Pearce,.371
9856,Brandon Snyder,.370
3269,Robinson Cano,.370
9810,Brian Dozier,.370
2396,Carlos Santana,.370
15937,Aledmys Diaz,.370
13110,Yoenis Cespedes,.369
17182,Jung Ho Kang,.369
11477,Christian Yelich,.367
8001,Hanley Ramirez,.367
4062,Dexter Fowler,.367
13744,David Dahl,.367
11493,Manny Machado,.366
13414,Andrew Toles,.365
15447,Ryon Healy,.364
3882,Chris Young,.364
6589,Sean Rodriguez,.363
5254,Robbie Grossman,.363
9785,Kyle Seager,.363
11609,Willson Contreras,.363
9953,Ryan Schimpf,.362
5273,Sandy Leon,.362
4251,Stephen Drew,.362
7870,Jonathan Lucroy,.362
1433,Wilson Ramos,.361
7287,Carlos Gonzalez,.361
4063,Anthony Recker,.361
7435,Ben Zobrist,.360
11899,Joc Pederson,.360
589,Carlos Beltran,.358
6876,Mark Trumbo,.358
8370,Dustin Pedroia,.358
10067,Tomas Telis,.358
9284,Chris Herrmann,.358
17901,Andrew Benintendi,.357
6195,Ian Kinsler,.356
10071,Jonathan Villar,.356
13510,Jose Ramirez,.355
1887,Jose Bautista,.355
12984,Jackie Bradley Jr.,.354
5235,Justin Turner,.353
12856,George Springer,.353
13329,Jake Lamb,.352
18718,Hyun Soo Kim,.352
12101,Kennys Vargas,.352
6962,Ryan Kalish,.352
5223,Cameron Maybin,.352
2636,Brandon Guyer,.351
9241,Starling Marte,.351
7539,Neil Walker,.351
393,Victor Martinez,.351
4969,Luis Valbuena,.351
11368,Yasmani Grandal,.350
9368,Evan Longoria,.350
14103,Rio Ruiz,.350
11737,Nick Castellanos,.350
2495,Pedro Alvarez,.349
9112,Khris Davis,.349
14162,Carlos Correa,.349
15676,Jose Abreu,.349
8252,Hunter Pence,.349
7619,Mark Reynolds,.349
10542,Derek Dietrich,.348
12957,Steve Selsky,.348
12161,Xander Bogaerts,.348
9981,Michael Saunders,.348
9776,Jason Kipnis,.347
9911,Chris Carter,.346
12495,T.J. Rivera,.346
10289,Hector Sanchez,.346
5352,Yangervis Solarte,.346
4962,Asdrubal Cabrera,.345
13367,Stephen Piscotty,.345
11003,Evan Gattis,.345
17171,Yasmany Tomas,.345
3707,Geovany Soto,.345
3411,Drew Butera,.345
8709,Elvis Andrus,.344
4949,Giancarlo Stanton,.344
3787,David Wright,.344
11205,Adam Eaton,.344
9744,Justin Bour,.343
10348,Domingo Santana,.343
11579,Bryce Harper,.343
9253,Keon Broxton,.343
3057,Mike Napoli,.343
12861,Anthony Rendon,.342
4022,Melky Cabrera,.342
6364,Danny Valencia,.342
7007,Yadier Molina,.342
10349,Tommy Joseph,.342
10047,Wil Myers,.341
9166,Buster Posey,.341
12916,Francisco Lindor,.340
11200,Kole Calhoun,.340
9272,Chris Davis,.340
9682,Adam Rosales,.340
9892,Jay Bruce,.340
13145,Josh Bell,.339
4747,Curtis Granderson,.339
4892,Mike Moustakas,.339
10816,Jedd Gyorko,.339
8610,Kendrys Morales,.339
9134,Tyler Flowers,.338
10951,Greg Garcia,.338
3142,Robinson Chirinos,.338
13265,Mike Zunino,.338
11476,Odubel Herrera,.338
13862,Devon Travis,.337
12546,C.J. Cron,.337
13132,Andrew Susac,.337
5827,Wilmer Flores,.336
12649,Alex Dickerson,.336
12282,Rougned Odor,.336
7185,Logan Forsythe,.336
6885,Ian Desmond,.336
3255,Franklin Gutierrez,.336
17678,Alex Bregman,.336
5107,Jefry Marte,.335
3312,Martin Prado,.335
5887,John Jaso,.335
1873,Matt Holliday,.335
11615,Brandon Drury,.335
1849,Rickie Weeks Jr.,.335
10556,Cesar Hernandez,.335
15223,Adam Frazier,.335
1908,Adrian Gonzalez,.334
3174,Shin-Soo Choo,.334
9549,David Freese,.334
18314,Dansby Swanson,.334
12164,Miguel Sano,.334
5631,Matt Kemp,.333
11739,J.T. Realmuto,.333
12371,Tommy La Stella,.333
12775,Brad Miller,.333
14221,Jorge Soler,.333
10950,Adam Duvall,.333
11624,Jarrett Parker,.332
8392,Daniel Descalso,.332
12907,Gregory Polanco,.331
10166,Nick Franklin,.331
13593,Jose Peraza,.331
1177,Albert Pujols,.331
11854,Steven Moya,.331
7331,Seth Smith,.331
9393,Matt Adams,.331
10324,Marcell Ozuna,.330
2967,Tommy Pham,.330
5222,Justin Upton,.329
1736,Jose Reyes,.329
4467,Brandon Moss,.329
7476,Alex Avila,.329
9847,Andrew McCutchen,.329
950,Marlon Byrd,.328
12225,Scott Schebler,.328
1327,Jayson Werth,.327
1857,Joe Mauer,.327
5343,Brandon Crawford,.327
7571,Lonnie Chisenhall,.327
4191,Yunel Escobar,.327
3531,Troy Tulowitzki,.327
2829,Manny Pina,.326
3516,Eric Hosmer,.326
4810,Brian McCann,.326
785,Todd Frazier,.326
13152,Jorge Polanco,.326
1551,David Ross,.326
14109,Albert Almora,.325
10243,Randal Grichuk,.325
14320,Wilmer Difo,.325
13075,Nori Aoki,.325
11850,Tyler Austin,.324
4146,Gorkys Hernandez,.324
7399,Billy Butler,.324
9399,Jeremy Hazelbaker,.324
13154,Marco Hernandez,.324
2918,Angel Pagan,.324
6848,Eduardo Nunez,.324
3892,Josh Reddick,.324
3376,Nick Hundley,.323
11038,Kevin Kiermaier,.323
11167,Josh Rutledge,.323
13546,Roman Quinn,.322
8841,Ramiro Pena,.322
9077,Lorenzo Cain,.322
4616,Russell Martin,.322
11146,Cameron Rupp,.321
2579,Carlos Ruiz,.321
5930,Nick Markakis,.321
13176,Blake Swihart,.321
13271,Richie Shaffer,.321
13866,Bruce Maxwell III,.321
1101,Ichiro Suzuki,.320
14225,Yasiel Puig,.320
11265,Jonathan Schoop,.320
12858,Brian Goodwin,.320
4177,Hernan Iribarren,.319
3256,Welington Castillo,.319
5227,Jon Jay,.319
4922,Ender Inciarte,.319
6012,Didi Gregorius,.319
10762,Corey Dickerson,.319
6368,Adam Jones,.319
5275,Francisco Cervelli,.318
14553,Nomar Mazara,.318
18722,Dae-Ho Lee,.318
9952,Trayce Thompson,.318
9205,Logan Morrison,.318
14158,Mac Williamson,.317
9927,Brett Gardner,.317
12409,Ryan Rua,.317
8628,Paulo Orlando,.317
12325,Jace Peterson,.317
14106,Addison Russell,.316
12552,Eugenio Suarez,.316
4866,Jarrod Dyson,.316
10473,Cheslor Cuthbert,.316
12979,Javier Baez,.316
9256,A.J. Pollock,.315
15172,Tim Anderson,.315
12533,Marcus Semien,.315
10329,Reymond Fuentes,.315
791,Brandon Phillips,.315
3978,Chris Heisey,.315
10339,Scooter Gennett,.315
7949,Tim Beckham,.314
9009,Conor Gillaspie,.314
13005,Kelby Tomlinson,.314
1907,Andres Blanco,.313
12144,Max Kepler,.313
4579,Starlin Castro,.313
10807,Tyler Saladino,.313
6400,Kirk Nieuwenhuis,.313
6104,Aaron Hill,.313
2616,Zack Cozart,.312
11470,Tony Wolters,.312
1679,Chase Utley,.312
5751,Hernan Perez,.312
16376,Michael Conforto,.312
8347,Denard Span,.312
12179,Maikel Franco,.311
5247,Brett Lawrie,.311
7740,Ty Kelly,.311
1737,Justin Morneau,.311
10030,Chris Owings,.311
4720,Chase Headley,.311
7462,Trevor Plouffe,.311
14885,Pat Valaika,.310
11982,Travis Shaw,.310
11281,Whit Merrifield,.309
9054,Justin Smoak,.309
2218,Ryan Raburn,.309
4727,Jacoby Ellsbury,.308
5667,Steven Souza Jr.,.308
9345,Brock Holt,.308
13777,Adonis Garcia,.308
13066,Teoscar Hernandez,.308
2136,David Peralta,.308
1738,Jhonny Peralta,.308
7304,Salvador Perez,.308
3086,Mitch Moreland,.307
3797,J.J. Hardy,.307
4298,Matt Wieters,.307
7168,Juan Centeno,.306
11255,Matt Szczur,.305
5000,Stephen Vogt,.305
13277,Joey Rickard,.304
13338,Omar Narvaez,.304
8027,Adam Lind,.304
7706,Kyle Jensen,.304
2502,Lucas Duda,.304
12155,Eddie Rosario,.304
14161,Byron Buxton,.304
6547,Jordy Mercer,.304
4229,Howie Kendrick,.303
18721,Guillermo Heredia,.303
14274,Mitch Haniger,.303
8259,Kurt Suzuki,.303
5398,Juan Graterol,.303
2430,Darwin Barney,.303
5209,Alex Gordon,.303
10953,Phil Gosselin,.302
8623,Donovan Solano,.302
4556,James Loney,.302
3708,Rajai Davis,.302
5760,Avisail Garcia,.302
10847,Andrelton Simmons,.302
1572,Coco Crisp,.301
2234,Kelly Johnson,.301
4243,Jose Lobaton,.301
9048,Ezequiel Carrera,.301
8722,Jason Castro,.301
8202,Josh Harrison,.301
10607,Bryce Brentz,.301
7937,Logan Schafer,.300
9328,Drew Stubbs,.300
10200,Tucker Barnhart,.300
11936,Joe Panik,.300
9308,Josh Phegley,.300
12532,Kolten Wong,.300
13608,Mallex Smith,.300
12927,Brandon Nimmo,.299
12723,Tyler Collins,.299
13369,Erik Gonzalez,.299
2530,Yonder Alonso,.299
3364,Miguel Montero,.299
6387,Michael Bourn,.298
5497,Marwin Gonzalez,.298
11846,Leonys Martin,.298
2154,Ryan Howard,.298
5015,Melvin Upton Jr.,.297
8418,Ehire Adrianza,.297
4881,Carlos Gomez,.296
10815,Jurickson Profar,.295
12434,Kevin Pillar,.295
11400,Ronald Torreyes,.295
5486,Abraham Almonte,.294
18497,Byung-ho Park,.294
10199,Billy Hamilton,.294
5384,Juan Lagares,.294
9219,Danny Espinosa,.294
6887,Martin Maldonado,.294
7290,Jake Elmore,.293
8145,Eric Fryer,.293
13768,Travis Jankowski,.293
13836,Matt Duffy,.292
7215,David Lough,.292
19198,Yulieski Gurriel,.292
3441,Nolan Reimold,.292
11446,Rob Segedin,.292
9848,Austin Jackson,.292
2578,Peter Bourjos,.291
13788,Matt Reynolds,.291
4792,Jeff Francoeur,.290
10053,Grant Green,.290
12294,Cory Spangenberg,.289
12508,Jett Bandy,.289
11859,Mason Williams,.289
3298,Charlie Culberson,.288
6652,Chase d'Arnaud,.287
15564,Tyler White,.287
1281,Mark Teixeira,.287
9433,Dustin Garneau,.287
4672,Junior Lake,.286
14282,Jason Coats,.285
6740,Johnny Giavotella,.285
8553,Gerardo Parra,.284
6609,Freddy Galvis,.284
5408,Jake Smolinski,.284
11391,Tyler Holt,.283
11489,Michael Taylor,.283
10231,Jose Iglesias,.283
11204,Stephen Cardullo,.282
8267,Chris Iannetta,.282
4418,Jed Lowrie,.282
11247,Jabari Blash,.282
13895,Trevor Brown,.282
3812,Gregorio Petit,.282
4940,Jason Heyward,.282
9893,Colby Rasmus,.282
13770,Rob Refsnyder,.282
13910,Patrick Kivlehan,.281
9015,Gordon Beckham,.281
6908,Clint Robinson,.280
8434,Brett Wallace,.280
8203,Dee Gordon,.280
1159,Andrew Romine,.279
13153,Luis Sardinas,.279
7739,Travis d'Arnaud,.279
11997,Cody Asche,.279
1965,Desmond Jennings,.278
6310,Alcides Escobar,.278
11287,Bryan Holaday,.277
5097,Anthony Gose,.277
5557,Jarrod Saltalamacchia,.277
10306,Oswaldo Arcia,.277
9886,Ivan De Jesus,.277
4220,Ryan Zimmerman,.277
971,Jimmy Rollins,.277
15191,Chad Pinder,.276
4613,Prince Fielder,.276
3371,Alejandro De Aza,.276
9629,Shawn O'Malley,.276
9542,Steve Clevenger,.275
14894,Tony Kemp,.275
5491,Austin Romine,.275
13185,Orlando Arcia,.274
5888,Cole Gillespie,.274
6013,Cristhian Adames,.274
12859,James McCann,.273
3648,Rene Rivera,.273
10028,Christian Bethancourt,.273
6266,Daniel Robertson,.272
3123,Gregor Blanco,.272
10327,Ramon Cabrera,.272
14712,Manuel Margot,.272
3878,Chris Stewart,.271
4082,Erick Aybar,.271
9887,Destin Hood,.271
3209,Julio Borbon,.270
6564,Bobby Wilson,.270
5297,Aaron Hicks,.270
11270,Aaron Altherr,.270
10472,KikĂÂŠ Hernandez,.270
7888,Ryan Flaherty,.269
6153,Eduardo Escobar,.269
6878,Chris Coghlan,.269
7409,Xavier Scruggs,.269
12510,Curt Casali,.268
11369,Brett Eibner,.268
12399,Taylor Motter,.267
15640,Aaron Judge,.267
5452,Ji-Man Choi,.267
4365,Scott Van Slyke,.267
1191,Chris Johnson,.267
5677,A.J. Ellis,.266
13613,Ketel Marte,.266
5481,Jimmy Paredes,.266
5450,Daniel Nava,.266
13853,Joey Wendle,.265
5913,Leury Garcia,.265
10322,Danny Santana,.265
17016,Rusney Castillo,.265
7802,Miguel Rojas,.265
7324,Chris Gimenez,.265
5133,Alexei Ramirez,.264
11145,Christian Colon,.264
6265,Andre Ethier,.263
13490,Oscar Hernandez,.263
11385,Matt den Dekker,.263
13301,Max Muncy,.262
13757,Chris Taylor,.262
3448,Jeff Mathis,.261
11379,Delino DeShields,.261
2900,Roberto Perez,.261
1609,Omar Infante,.260
13355,Luke Maile,.260
1274,Alex Rodriguez,.258
3179,Dioner Navarro,.258
12160,Ben Gamel,.258
