PlayerID,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
49,Kyle Blanks,Padres,4,3,4,3,3,0,0,0,0,4,1.000,0,0,0,1,0,0,0,0,1.000
166,Brian Roberts,Orioles,5,3,5,3,2,1,0,0,0,7,1.000,0,0,0,2,0,0,0,0,1.000
656,Cesar Izturis,Reds,3,1,3,1,1,0,0,0,0,2,1.000,0,0,0,1,1,0,0,0,1.000
745,David Ortiz,Red Sox,3,1,3,1,1,0,0,0,0,3,1.000,0,0,0,2,0,0,0,0,1.000
906,Eric Chavez,Diamondbacks,3,3,3,3,2,1,0,0,0,3,1.000,0,0,0,0,0,0,0,0,1.000
934,Carlos Pena,Astros,1,1,1,1,1,0,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
1165,Chris Valaika,Marlins,1,1,1,1,1,0,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
1327,Jayson Werth,Nationals,1,1,1,1,1,0,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
1443,Mark Ellis,Dodgers,6,4,6,4,4,0,0,0,0,7,1.000,0,0,0,2,0,0,0,0,1.000
1736,Jose Reyes,Blue Jays,1,1,1,1,1,0,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
1935,Kevin Youkilis,Yankees,1,1,1,1,1,0,0,0,0,2,1.000,0,0,0,0,0,0,0,0,1.000
2103,Josh Willingham,Twins,1,1,1,1,1,0,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
2154,Ryan Howard,Phillies,4,3,4,3,3,0,0,0,0,6,1.000,0,0,0,1,0,0,0,0,1.000
2161,Jason Kubel,Diamondbacks,2,1,2,1,1,0,0,0,0,3,1.000,0,0,0,1,0,0,0,0,1.000
2225,Jason Bourgeois,Rays,1,1,1,1,1,0,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
2233,Adam Wainwright,Cardinals,1,1,1,1,1,0,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
2830,Travis Snider,Pirates,2,2,2,2,2,0,0,0,0,2,1.000,0,0,0,0,0,0,0,0,1.000
3118,Jesus Guzman,Padres,1,1,1,1,1,0,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
3255,Franklin Gutierrez,Mariners,2,2,2,2,2,0,0,0,0,3,1.000,0,0,0,0,0,0,0,0,1.000
3364,Miguel Montero,Diamondbacks,4,2,4,2,2,0,0,0,0,4,1.000,0,0,0,2,0,0,0,0,1.000
3448,Jeff Mathis,Marlins,2,2,2,2,2,0,0,0,0,4,1.000,0,0,0,0,0,0,0,0,1.000
3648,Rene Rivera,Padres,1,1,1,1,1,0,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
3692,Jack Hannahan,Reds,2,1,2,1,1,0,0,0,0,2,1.000,0,0,0,1,0,0,0,0,1.000
3708,Rajai Davis,Blue Jays,4,2,4,2,2,0,0,0,0,4,1.000,0,0,0,2,0,0,0,0,1.000
3815,Mat Latos,Reds,1,1,1,1,1,0,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
4063,Anthony Recker,Mets,3,1,3,1,1,0,0,0,0,3,1.000,0,0,0,2,0,0,0,0,1.000
4182,Jonathan Herrera,Rockies,4,2,4,2,1,1,0,0,0,5,1.000,0,0,0,1,1,0,0,0,1.000
4220,Ryan Zimmerman,Nationals,2,2,2,2,2,0,0,0,0,2,1.000,0,0,0,0,0,0,0,0,1.000
4403,Erik Kratz,Phillies,2,2,2,2,2,0,0,0,0,2,1.000,0,0,0,0,0,0,0,0,1.000
4613,Prince Fielder,Tigers,6,4,6,4,4,0,0,0,0,6,1.000,0,0,0,2,0,0,0,0,1.000
4704,Donnie Murphy,Cubs,1,1,1,1,1,0,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
