PlayerID,Name,wOBA
9414,Quintin Berry,.705
4748,Matt Carson,.680
8145,Eric Fryer,.507
8760,Carlos Peguero,.498
7324,Chris Gimenez,.490
1744,Miguel Cabrera,.455
10622,Zach Walters,.454
8001,Hanley Ramirez,.442
7799,Joey Butler,.426
7485,Blake DeWitt,.424
10155,Mike Trout,.423
447,Melky Mesa,.421
9272,Chris Davis,.421
6806,Josmil Pinto,.418
7287,Carlos Gonzalez,.408
9112,Khris Davis,.406
13510,Jose Ramirez,.404
9218,Paul Goldschmidt,.404
1327,Jayson Werth,.403
3531,Troy Tulowitzki,.400
4314,Joey Votto,.400
745,David Ortiz,.400
10199,Billy Hamilton,.398
14225,Yasiel Puig,.398
1534,Michael Cuddyer,.396
3735,Zach Lutz,.394
9847,Andrew McCutchen,.393
3174,Shin-Soo Choo,.393
3787,David Wright,.391
2073,Jeff Baker,.389
2218,Ryan Raburn,.389
2151,Edwin Encarnacion,.388
5361,Freddie Freeman,.387
5275,Francisco Cervelli,.385
5038,Josh Donaldson,.384
3269,Robinson Cano,.384
1857,Joe Mauer,.383
1873,Matt Holliday,.383
7480,Mike Carp,.382
6364,Danny Valencia,.381
8090,Matt Carpenter,.381
639,Adrian Beltre,.379
9854,Efren Navarro,.378
4293,Brett Hayes,.378
3179,Dioner Navarro,.374
6274,Carlos Quentin,.372
1887,Jose Bautista,.372
11579,Bryce Harper,.371
3410,Ryan Braun,.370
4467,Brandon Moss,.369
8027,Adam Lind,.368
4949,Giancarlo Stanton,.368
11147,Tommy Medica,.368
3057,Mike Napoli,.367
4704,Donnie Murphy,.366
1002,Aramis Ramirez,.366
5450,Daniel Nava,.366
9893,Colby Rasmus,.365
9393,Matt Adams,.365
10264,Brandon Belt,.365
2396,Carlos Santana,.364
950,Marlon Byrd,.364
10339,Scooter Gennett,.364
11265,Jonathan Schoop,.364
3433,Allen Craig,.363
4881,Carlos Gomez,.363
2650,Corey Brown,.363
7007,Yadier Molina,.362
8722,Jason Castro,.361
9368,Evan Longoria,.360
11287,Bryan Holaday,.360
2434,Nelson Cruz,.359
589,Carlos Beltran,.359
6050,Moises Sierra,.359
9627,Yan Gomes,.359
4613,Prince Fielder,.358
6104,Aaron Hill,.358
914,Brennan Boesch,.357
5222,Justin Upton,.357
9166,Buster Posey,.357
9776,Jason Kipnis,.357
10047,Wil Myers,.357
8252,Hunter Pence,.356
1738,Jhonny Peralta,.356
1679,Chase Utley,.356
1191,Chris Johnson,.354
9929,Darin Ruf,.354
4220,Ryan Zimmerman,.353
1677,Shane Victorino,.353
4365,Scott Van Slyke,.353
3154,Domonic Brown,.351
11200,Kole Calhoun,.351
7859,Charlie Blackmon,.350
6368,Adam Jones,.350
3516,Eric Hosmer,.350
5557,Jarrod Saltalamacchia,.349
3707,Geovany Soto,.348
8002,Wilin Rosario,.348
4810,Brian McCann,.347
4062,Dexter Fowler,.347
8370,Dustin Pedroia,.347
731,Torii Hunter,.346
1609,Omar Infante,.346
1908,Adrian Gonzalez,.346
6788,Josh Satin,.346
1867,Darnell McDonald,.346
5887,John Jaso,.345
7399,Billy Butler,.345
9957,Steve Pearce,.345
7870,Jonathan Lucroy,.345
4418,Jed Lowrie,.345
4940,Jason Heyward,.344
9892,Jay Bruce,.344
9241,Starling Marte,.344
607,Raul Ibanez,.344
906,Eric Chavez,.344
342,Corky Miller,.343
4727,Jacoby Ellsbury,.343
1736,Jose Reyes,.343
8272,Matt Tuiasosopo,.342
211,Will Venable,.342
1274,Alex Rodriguez,.342
8610,Kendrys Morales,.342
11477,Christian Yelich,.341
6885,Ian Desmond,.341
6265,Andre Ethier,.340
847,Alfonso Soriano,.340
5002,Caleb Gindl,.340
2411,Jose Tabata,.340
9362,Adam Moore,.340
2502,Lucas Duda,.340
393,Victor Martinez,.340
4719,Brian Bogusevic,.339
1572,Coco Crisp,.339
9571,Craig Gentry,.339
4556,James Loney,.339
3361,Gaby Sanchez,.338
1845,Jonny Gomes,.338
8841,Ramiro Pena,.338
4251,Stephen Drew,.337
1433,Wilson Ramos,.337
9785,Kyle Seager,.337
6352,Ryan Sweeney,.337
9911,Chris Carter,.337
4599,Nick Swisher,.336
4229,Howie Kendrick,.336
6827,Justin Maxwell,.336
7226,Matt Davidson,.336
4672,Junior Lake,.335
10762,Corey Dickerson,.335
6867,Derek Norris,.335
3255,Franklin Gutierrez,.335
9927,Brett Gardner,.335
454,Juan Uribe,.334
7435,Ben Zobrist,.334
6195,Ian Kinsler,.334
2154,Ryan Howard,.334
7539,Neil Walker,.333
1698,Gerald Laird,.333
7949,Tim Beckham,.333
6547,Jordy Mercer,.333
9848,Austin Jackson,.332
319,Adam Dunn,.331
9054,Justin Smoak,.331
5409,Pablo Sandoval,.331
6201,Nate Schierholtz,.331
8879,Ryan Lavarnway,.331
3256,Welington Castillo,.331
11146,Cameron Rupp,.330
2090,Alex Rios,.330
1965,Desmond Jennings,.330
2495,Pedro Alvarez,.330
8267,Chris Iannetta,.330
3353,Matt Joyce,.330
4720,Chase Headley,.330
11003,Evan Gattis,.329
1177,Albert Pujols,.329
2918,Angel Pagan,.329
8155,Everth Cabrera,.329
5933,Jean Segura,.329
7304,Salvador Perez,.329
3312,Martin Prado,.328
10231,Jose Iglesias,.327
5963,Xavier Paul,.327
10030,Chris Owings,.326
1760,Cody Ross,.326
13075,Nori Aoki,.326
5209,Alex Gordon,.326
3469,Luke Scott,.326
11493,Manny Machado,.325
10816,Jedd Gyorko,.325
3473,Anthony Rizzo,.325
5928,Daric Barton,.325
1555,Marco Scutaro,.325
1066,Willie Bloomquist,.325
5506,George Kottaras,.324
1825,David DeJesus,.323
12775,Brad Miller,.323
3190,Nate McLouth,.323
4400,Chris Denorfia,.323
1392,Mark DeRosa,.323
1201,Carl Crawford,.322
432,Todd Helton,.322
10306,Oswaldo Arcia,.322
9549,David Freese,.322
2103,Josh Willingham,.322
6876,Mark Trumbo,.322
3797,J.J. Hardy,.322
1737,Justin Morneau,.321
1904,Adam LaRoche,.321
9256,A.J. Pollock,.321
3371,Alejandro De Aza,.320
1286,Michael Young,.320
4106,Michael Brantley,.320
4316,Daniel Murphy,.320
3086,Mitch Moreland,.320
5227,Jon Jay,.319
9810,Brian Dozier,.319
1875,Josh Hamilton,.319
785,Todd Frazier,.319
5053,Tony Abreu,.319
4747,Curtis Granderson,.319
5760,Avisail Garcia,.319
3917,Dayan Viciedo,.318
8553,Gerardo Parra,.318
13110,Yoenis Cespedes,.318
7331,Seth Smith,.318
12861,Anthony Rendon,.318
6582,Nate Freiman,.317
918,Ramon Hernandez,.317
2578,Peter Bourjos,.317
4243,Jose Lobaton,.316
5631,Matt Kemp,.316
7215,David Lough,.316
9981,Michael Saunders,.315
4616,Russell Martin,.315
4969,Luis Valbuena,.315
2140,Delmon Young,.314
2234,Kelly Johnson,.314
5254,Robbie Grossman,.314
5247,Brett Lawrie,.314
8434,Brett Wallace,.314
6589,Sean Rodriguez,.313
4964,Tony Campana,.313
8347,Denard Span,.313
746,A.J. Pierzynski,.313
548,Lance Berkman,.313
6978,Juan Francisco,.313
3336,Alberto Callaspo,.312
9205,Logan Morrison,.312
3298,Charlie Culberson,.312
10059,Max Stassi,.312
5486,Abraham Almonte,.312
2505,Hank Conger,.312
4191,Yunel Escobar,.311
1126,Cody Ransom,.311
3231,Brayan Pena,.311
98,Ryan Langerhans,.311
5386,Andrew Lambo,.311
2113,Ryan Doumit,.311
6012,Didi Gregorius,.311
2530,Yonder Alonso,.311
11368,Yasmani Grandal,.310
7619,Mark Reynolds,.310
7476,Alex Avila,.310
6656,L.J. Hoes,.310
166,Brian Roberts,.309
7462,Trevor Plouffe,.309
2714,Garrett Jones,.309
5235,Justin Turner,.309
11846,Leonys Martin,.308
9777,Nolan Arenado,.308
6677,J.B. Shuck,.308
3123,Gregor Blanco,.307
7620,Justin Ruggiano,.307
8418,Ehire Adrianza,.307
8202,Josh Harrison,.307
5665,Yamaico Navarro,.307
4866,Jarrod Dyson,.307
791,Brandon Phillips,.307
4962,Asdrubal Cabrera,.307
4712,Ben Revere,.307
1717,Jason Bay,.306
9015,Gordon Beckham,.306
9187,Jordan Danks,.306
6453,Andy Dirks,.306
4182,Jonathan Herrera,.306
941,Miguel Tejada,.305
10556,Cesar Hernandez,.305
3708,Rajai Davis,.305
10324,Marcell Ozuna,.304
5930,Nick Markakis,.304
3837,Andrew Brown,.304
5133,Alexei Ramirez,.304
10166,Nick Franklin,.304
12161,Xander Bogaerts,.304
5305,Alex Presley,.304
1551,David Ross,.304
5677,A.J. Ellis,.304
2579,Carlos Ruiz,.303
1556,Wil Nieves,.303
3978,Chris Heisey,.303
10847,Andrelton Simmons,.303
3892,Josh Reddick,.303
9853,Sean Halton,.303
9883,Jordan Schafer,.303
3442,Dan Uggla,.303
9009,Conor Gillaspie,.303
7927,Eric Sogard,.303
4249,Shane Robinson,.303
1617,Lyle Overbay,.303
4022,Melky Cabrera,.303
49,Kyle Blanks,.302
4298,Matt Wieters,.302
1573,Travis Hafner,.302
6178,Tony Sanchez,.302
3704,Skip Schumaker,.301
4903,Matt Dominguez,.301
11205,Adam Eaton,.301
5000,Stephen Vogt,.301
6387,Michael Bourn,.300
8179,Joe Mahoney,.300
5097,Anthony Gose,.300
7002,Will Middlebrooks,.300
1443,Mark Ellis,.300
1849,Rickie Weeks Jr.,.299
3118,Jesus Guzman,.299
7888,Ryan Flaherty,.299
11997,Cody Asche,.299
4082,Erick Aybar,.299
242,Paul Konerko,.298
934,Carlos Pena,.298
3390,John Mayberry,.298
2554,Chris Parmelee,.298
6878,Chris Coghlan,.298
6848,Eduardo Nunez,.298
5653,Ryan Roberts,.298
10542,Derek Dietrich,.297
8433,Ike Davis,.297
5417,Jose Altuve,.297
1429,Nick Punto,.296
5343,Brandon Crawford,.296
9328,Drew Stubbs,.296
10953,Phil Gosselin,.296
10099,Dustin Ackley,.296
8709,Elvis Andrus,.296
3364,Miguel Montero,.295
4063,Anthony Recker,.295
9874,DJ LeMahieu,.295
971,Jimmy Rollins,.295
5219,Wilkin Ramirez,.295
8810,Blake Tekotte,.295
3376,Nick Hundley,.295
1702,Reed Johnson,.294
7571,Lonnie Chisenhall,.293
6777,Tyler Pastornicky,.292
6740,Johnny Giavotella,.292
2225,Jason Bourgeois,.292
2216,Don Kelly,.292
2784,Derrick Robinson,.292
818,Jason Giambi,.291
9077,Lorenzo Cain,.291
7095,Chris Dickerson,.291
10815,Jurickson Profar,.291
12533,Marcus Semien,.291
6609,Freddy Galvis,.291
1935,Kevin Youkilis,.290
13047,Munenori Kawasaki,.290
11376,Michael Choice,.290
14448,Kensuke Tanaka,.290
10289,Hector Sanchez,.290
7532,Ed Lucas,.289
6035,David Murphy,.289
2616,Zack Cozart,.289
10071,Jonathan Villar,.289
7290,Jake Elmore,.289
3882,Chris Young,.289
7158,Eric Young,.288
5371,Juan Perez,.288
2324,J.C. Boscan,.288
5587,Carlos Corporan,.288
4892,Mike Moustakas,.287
2041,John Buck,.287
3035,Michael Morse,.286
4403,Erik Kratz,.286
7528,Kevin Frandsen,.286
10053,Grant Green,.286
13051,Chris Colabello,.286
5834,Brett Pill,.285
1142,Rick Ankiel,.285
1488,Andres Torres,.285
4518,Doug Bernier,.285
8392,Daniel Descalso,.284
5986,Mike Aviles,.284
6184,J.D. Martinez,.284
629,Brandon Barnes,.283
7765,Jermaine Curtis,.282
1502,Nick Green,.282
5666,Devin Mesoraco,.282
5476,Brandon Laird,.281
11167,Josh Rutledge,.281
6448,Jim Adduci,.281
1101,Ichiro Suzuki,.281
1824,Humberto Quintero,.281
5503,Corban Joseph,.280
3867,Kelly Shoppach,.280
13265,Mike Zunino,.280
4579,Starlin Castro,.280
1638,Miguel Olivo,.280
3620,Shelley Duncan,.280
1926,Scott Hairston,.279
7577,Marc Krauss,.279
3790,Jayson Nix,.279
12984,Jackie Bradley Jr.,.279
4054,Emilio Bonifacio,.279
1176,Placido Polanco,.279
1326,Vernon Wells,.279
6153,Eduardo Escobar,.278
3692,Jack Hannahan,.277
8623,Donovan Solano,.277
1260,Ryan Ludwick,.277
9284,Chris Herrmann,.276
7610,Lou Marson,.276
5384,Juan Lagares,.275
