PlayerID, Name, WoBA
9033,Jeanmar Gomez,.892
5114,Jeurys Familia,.594
2895,Zach McAllister,.446
3543,Clay Buchholz,.446
9904,Pedro Villarreal,.446
10732,Drew Hutchison,.446
11486,Robbie Ray,.446
11716,Nick Tepesch,.446
12988,Andrew Chafin,.446
535,Brad Penny,.362
10688,Tyler Thornburg,.361
1259,Colby Lewis,.357
12235,Seth Maness,.357
2608,Jhoulys Chacin,.346
15467,Marco Gonzales,.346
6819,Robbie Ross Jr.,.345
9460,Dan Straily,.345
12385,Nick Tropeano,.345
5524,Madison Bumgarner,.329
10620,Donn Roach,.321
7059,James Shields,.311
7274,Craig Stammen,.311
9884,Travis Wood,.309
1397,Jason Lane,.297
3132,Tony Watson,.297
4257,David Huff,.297
6329,John Danks,.297
8700,Justin Verlander,.297
9266,Daniel Corcino,.297
9492,Bud Norris,.297
12515,Taylor Hill,.297
1767,Kevin Correia,.279
9761,Joe Kelly,.275
1943,Zack Greinke,.273
8137,Jaime Garcia,.261
3284,Anibal Sanchez,.257
3873,Zeke Spruill,.257
5285,Samuel Deduno,.257
13074,Yu Darvish,.257
7593,Jordan Lyles,.245
10130,Mike Leake,.230
2859,Ross Detwiler,.230
3580,C.J. Wilson,.230
10197,Shelby Miller,.227
4153,Jake Arrieta,.223
1636,Cliff Lee,.223
2586,Wandy Rodriguez,.223
4026,Hector Santiago,.223
10123,Kyle Gibson,.223
11471,Dallas Beeler,.223
11682,Carlos Martinez,.223
11855,Yordano Ventura,.223
6562,Alex Cobb,.223
10954,Jacob deGrom,.221
10185,Jacob Turner,.210
2036,Clayton Kershaw,.206
7775,Daisuke Matsuzaka,.206
13125,Gerrit Cole,.203
510,Josh Beckett,.203
10058,Tyler Matzek,.200
1757,Dan Haren,.200
4972,Cole Hamels,.200
8782,Andrew Cashner,.199
7872,Tyson Ross,.198
978,Bronson Arroyo,.198
2233,Adam Wainwright,.198
1478,Felix Doubront,.198
4732,Matt Cain,.189
10021,Mike Minor,.186
4505,Jordan Zimmermann,.184
8223,Brett Anderson,.183
6986,Ian Kennedy,.183
3254,Jeff Samardzija,.181
2429,Corey Kluber,.178
7942,Christian Friedrich,.178
10982,Chase Whitley,.178
5669,Henderson Alvarez,.178
12049,Kyle Hendricks,.176
1841,Edwin Jackson,.176
9434,Dallas Keuchel,.172
11176,David Buchanan,.171
10304,Jarred Cosart,.170
8779,Wade Miley,.168
2038,Justin Masterson,.162
14444,Hyun-Jin Ryu,.161
512,A.J. Burnett,.158
10131,Stephen Strasburg,.158
8362,Homer Bailey,.156
11334,Tyler Lyons,.153
1137,Jerome Williams,.149
4424,Jon Niese,.147
10547,Jimmy Nelson,.146
7312,Josh Collmenter,.144
5088,Franklin Morales,.144
13050,Anthony DeSclafani,.144
2047,Jorge de la Rosa,.143
1011,Ryan Vogelsong,.143
6397,Jake Odorizzi,.138
13048,Hisashi Iwakuma,.138
11366,Brandon Cumpton,.137
6230,Kyle Kendrick,.136
1118,Marco Estrada,.136
4538,Jason Hammel,.135
2155,Alfredo Simon,.135
6893,Johnny Cueto,.134
10354,Robbie Erlin,.130
739,Kyle Lohse,.128
976,Randy Wolf,.127
6432,Tim Stauffer,.127
12555,Tony Cingrani,.127
8678,Paul Maholm,.125
2929,Jeff Locke,.124
3201,Francisco Liriano,.124
3200,Ervin Santana,.123
4662,Brandon McCarthy,.123
5057,Yohan Flande,.122
12572,Blake Treinen,.122
2072,Jeremy Guthrie,.120
1507,John Lackey,.119
6797,Julio Teheran,.118
8753,Tanner Roark,.117
8173,Yovani Gallardo,.117
6249,Trevor Cahill,.115
2520,Lance Lynn,.114
5705,Tim Lincecum,.113
7448,Gio Gonzalez,.113
10466,Taylor Jordan,.111
11530,Jose Fernandez,.111
15423,Andrew Heaney,.111
3815,Mat Latos,.109
3886,Gavin Floyd,.099
5985,Randall Delgado,.099
15764,Masahiro Tanaka,.099
8011,Eric Stults,.095
13781,Alex Wood,.094
11137,Mike Bolsinger,.094
10310,Zack Wheeler,.091
9132,Nathan Eovaldi,.090
4338,Tyler Chatwood,.089
9425,Doug Fister,.088
6435,Vance Worley,.087
9674,Vidal Nuno,.085
1451,Aaron Harang,.083
13287,Jesse Hahn,.081
7738,Wily Peralta,.081
13046,Tsuyoshi Wada,.075
3340,Matt Garza,.075
3273,Roberto Hernandez,.073
7731,Juan Nicasio,.071
921,Tim Hudson,.069
3990,Edinson Volquez,.069
6570,Tom Koehler,.066
4020,Yusmeiro Petit,.061
4676,Charlie Morton,.060
7396,Dillon Gee,.057
9756,David Hale,.050
7754,Mike Fiers,.047
10925,Christian Bergman,.047
6895,Chase Anderson,.046
375,Bartolo Colon,.035
9111,Brad Hand,.033
14078,Michael Wacha,.031
16017,Odrisamer Despaigne,.028
404,CC Sabathia,.000
715,Jamey Wright,.000
1051,Jake Peavy,.000
1245,R.A. Dickey,.000
2717,Rick Porcello,.000
3137,Max Scherzer,.000
3184,David Price,.000
3220,Jean Machi,.000
3283,Hiroki Kuroda,.000
3292,Hector Noesi,.000
3542,Danny Duffy,.000
