9033,Jeanmar Gomez,Pirates,2,0.0 %,0.0 %,0.00,1.000,1.000,1.000,2.000,.000,0.1,1.000, , ,0.0,1,0.9,.892,496
5114,Jeurys Familia,Mets,3,0.0 %,0.0 %,0.00,.667,.667,.667,1.333,.000,0.1,.667, , ,0.0,1,0.7,.594,295
2895,Zach McAllister,Indians,2,0.0 %,0.0 %,0.00,.500,.500,.500,1.000,.000,0.1,.500, , ,0.0,0,0.2,.446,191
3543,Clay Buchholz,Red Sox,2,0.0 %,0.0 %,0.00,.500,.500,.500,1.000,.000,0.1,.500, , ,0.0,0,0.2,.446,187
9904,Pedro Villarreal,Reds,2,0.0 %,50.0 %,0.00,.500,.500,.500,1.000,.000,0.1,1.000, , ,0.0,0,0.2,.446,187
10732,Drew Hutchison,Blue Jays,4,0.0 %,50.0 %,0.00,.500,.500,.500,1.000,.000,0.1,1.000, , ,0.0,1,0.4,.446,191
11486,Robbie Ray,Tigers,2,0.0 %,0.0 %,0.00,.500,.500,.500,1.000,.000,0.1,.500, , ,0.0,0,0.2,.446,192
11716,Nick Tepesch,Rangers,2,0.0 %,0.0 %,0.00,.500,.500,.500,1.000,.000,0.1,.500, , ,0.0,0,0.2,.446,188
12988,Andrew Chafin,Diamondbacks,2,0.0 %,50.0 %,0.00,.500,.500,.500,1.000,.000,0.1,1.000, , ,0.0,0,0.2,.446,184
535,Brad Penny,Marlins,8,0.0 %,37.5 %,0.00,.333,.333,.500,.833,.167,2.6,.667, , ,0.0,1,0.3,.362,133
10688,Tyler Thornburg,Brewers,2,0.0 %,0.0 %,0.00,.000,.500,.000,.500,.000,0.1,.000, , ,0.0,0,0.1,.361,128
1259,Colby Lewis,Rangers,5,0.0 %,40.0 %,0.00,.400,.400,.400,.800,.000,0.1,.667, , ,0.0,1,0.2,.357,126
12235,Seth Maness,Cardinals,5,0.0 %,0.0 %,0.00,.400,.400,.400,.800,.000,0.1,.400, , ,0.0,1,0.2,.357,129
2608,Jhoulys Chacin,Rockies,17,5.9 %,23.5 %,0.25,.333,.375,.400,.775,.067,1.6,.455, , ,0.0,2,0.5,.346,104
15467,Marco Gonzales,Cardinals,12,0.0 %,16.7 %,0.00,.300,.300,.500,.800,.200,1.6,.375, , ,0.0,2,0.3,.346,122
6819,Robbie Ross Jr.,Rangers,2,50.0 %,0.0 %,1.00,.000,.500,.000,.500,.000,0.1,.000, , ,0.0,0,0.1,.345,118
9460,Dan Straily,- - -,2,50.0 %,50.0 %,1.00,.000,.500,.000,.500,.000,0.1,.000, , ,0.0,0,0.1,.345,120
12385,Nick Tropeano,Astros,2,50.0 %,0.0 %,1.00,.000,.500,.000,.500,.000,0.1,.000, , ,0.0,0,0.1,.345,124
5524,Madison Bumgarner,Giants,78,2.6 %,37.2 %,0.07,.258,.286,.470,.755,.212,2.0,.382, , ,-0.1,10,1.1,.329,114
10620,Donn Roach,Padres,4,0.0 %,25.0 %,0.00,.250,.250,.500,.750,.250,0.1,.333, , ,0.0,0,0.0,.321,107
7059,James Shields,Royals,7,0.0 %,14.3 %,0.00,.286,.286,.429,.714,.143,2.6,.333, , ,0.0,1,0.0,.311,96
7274,Craig Stammen,Nationals,8,0.0 %,50.0 %,0.00,.286,.286,.429,.714,.143,0.1,.667, , ,0.0,1,0.0,.311,96
9884,Travis Wood,Cubs,66,1.5 %,25.8 %,0.06,.232,.271,.429,.700,.196,2.6,.278, , ,0.0,7,0.0,.309,96
1397,Jason Lane,Padres,3,0.0 %,0.0 %,0.00,.333,.333,.333,.667,.000,0.1,.333, , ,0.0,0,0.0,.297,91
