PlayerID,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
4300,Matt Albers,White Sox,58,1,1,1,0,1,0,0,1,0,1.000,0,0,0,0,0,0,0,0,1.000
7608,Tommy Milone,Twins,19,2,2,2,2,0,0,0,0,0,1.000,0,0,0,0,0,0,0,0,1.000
7947,Cory Gearrin,Giants,56,1,1,1,1,0,0,0,0,0,1.000,0,0,0,0,0,0,0,0,1.000
14168,Jose Berrios,Twins,14,1,1,1,1,0,0,0,0,0,1.000,0,0,0,0,0,0,0,0,1.000
15928,Cody Ege,Marlins,5,1,1,1,1,0,0,0,0,0,1.000,0,0,0,0,0,0,0,0,1.000
1514,Oliver Perez,Nationals,64,3,3,2,1,1,0,0,1,0,.667,0,0,0,0,0,0,0,0,.667
4141,Derek Holland,Rangers,22,2,2,1,1,0,0,0,0,0,.500,0,1,0,0,0,0,0,0,.500
8173,Yovani Gallardo,Orioles,24,4,6,2,2,0,0,0,1,0,.500,0,1,0,0,1,0,0,0,.500
14361,Ty Blach,Giants,4,4,4,2,2,0,0,0,1,0,.500,0,0,0,0,0,0,0,0,.500
9388,Josh Tomlin,Indians,30,5,6,2,1,1,0,0,1,0,.400,0,2,0,0,1,0,0,0,.400
16918,Luke Weaver,Cardinals,9,13,13,5,5,0,0,0,1,0,.385,0,4,0,0,0,0,0,0,.385
3299,Chris Hatcher,Dodgers,37,3,3,1,1,0,0,0,0,1,.333,0,0,0,0,0,0,0,0,.333
4026,Hector Santiago,Angels,22,3,3,1,1,0,0,0,0,0,.333,0,1,0,0,0,0,0,0,.333
6902,Martin Perez,Rangers,33,3,4,1,1,0,0,0,0,0,.333,0,1,0,0,1,0,0,0,.333
7655,Wilfredo Boscan,Pirates,6,3,3,1,1,0,0,0,0,1,.333,0,1,0,0,0,0,0,0,.333
10925,Christian Bergman,Rockies,15,3,3,1,1,0,0,0,1,0,.333,0,0,0,0,0,0,0,0,.333
11424,Anthony Ranaudo,White Sox,7,3,3,1,0,0,0,1,1,1,.333,0,1,0,0,0,0,0,0,.333
11855,Yordano Ventura,Royals,32,3,3,1,1,0,0,0,0,0,.333,0,2,0,0,0,0,0,0,.333
13074,Yu Darvish,Rangers,17,3,3,1,0,0,0,1,1,1,.333,0,1,0,0,0,1,0,0,.333
14120,Lance McCullers,Astros,14,3,3,1,1,0,0,0,1,0,.333,0,0,0,0,0,0,0,0,.333
9323,Patrick Corbin,Diamondbacks,38,49,53,15,11,3,1,0,7,4,.306,0,14,0,0,3,0,0,1,.306
2608,Jhoulys Chacin,- - -,34,10,10,3,3,0,0,0,1,1,.300,0,1,0,0,0,0,0,0,.300
3201,Francisco Liriano,Pirates,23,42,42,12,10,1,0,1,2,5,.286,0,16,0,0,0,0,0,0,.286
7410,J.A. Happ,Blue Jays,32,7,10,2,2,0,0,0,2,0,.286,0,3,0,0,3,0,0,0,.286
4153,Jake Arrieta,Cubs,31,65,70,17,12,2,1,2,7,7,.262,0,28,0,0,1,1,0,0,.262
13774,Zach Eflin,Phillies,11,23,23,6,4,2,0,0,2,0,.261,0,8,0,0,0,2,0,0,.261
2429,Corey Kluber,Indians,32,4,6,1,0,1,0,0,1,0,.250,0,3,0,0,2,0,0,0,.250
4505,Jordan Zimmermann,Tigers,19,4,5,1,1,0,0,0,0,0,.250,0,2,0,0,1,0,0,0,.250
6397,Jake Odorizzi,Rays,33,4,4,1,1,0,0,0,0,1,.250,0,1,0,0,0,0,0,0,.250
10770,Tyler Cravy,Brewers,20,4,5,1,0,0,0,1,1,1,.250,0,1,0,0,1,0,0,0,.250
11530,Jose Fernandez,Marlins,30,52,61,13,11,2,0,0,3,6,.250,0,13,0,0,8,1,0,0,.250
13781,Alex Wood,Dodgers,15,16,19,4,4,0,0,0,2,2,.250,0,9,0,0,2,0,0,0,.250
15291,Steven Brault,Pirates,8,8,9,2,2,0,0,0,1,0,.250,0,0,0,0,1,0,0,0,.250
15474,Lucas Giolito,Nationals,6,4,6,1,1,0,0,0,1,0,.250,0,1,0,0,2,0,0,0,.250
4538,Jason Hammel,Cubs,35,65,69,16,13,3,0,0,6,7,.246,0,24,0,0,3,0,0,0,.246
12972,Joe Ross,Nationals,23,41,44,10,8,2,0,0,2,1,.244,0,15,0,0,0,1,0,0,.244
11682,Carlos Martinez,Cardinals,33,59,65,14,13,1,0,0,5,6,.237,0,13,1,1,4,1,0,0,.237
5702,Junior Guerra,Brewers,20,35,43,8,6,2,0,0,2,0,.229,0,13,0,0,8,0,0,0,.229
2233,Adam Wainwright,Cardinals,34,62,69,14,3,8,1,2,6,18,.226,0,17,0,0,5,1,0,0,.226
9492,Bud Norris,- - -,35,27,38,6,5,0,1,0,2,1,.222,0,7,1,0,7,0,0,0,.222
1841,Edwin Jackson,Padres,16,23,27,5,4,1,0,0,2,2,.217,0,11,0,0,1,0,1,0,.217
1943,Zack Greinke,Diamondbacks,27,52,60,11,10,1,0,0,4,3,.212,0,9,0,2,3,0,1,0,.212
10131,Stephen Strasburg,Nationals,24,48,57,10,9,1,0,0,3,2,.208,0,11,0,0,7,2,0,0,.208
6797,Julio Teheran,Braves,31,49,61,10,9,1,0,0,1,2,.204,0,16,0,0,11,1,0,0,.204
2717,Rick Porcello,Red Sox,33,5,5,1,1,0,0,0,0,0,.200,0,1,0,0,0,0,0,0,.200
3542,Danny Duffy,Royals,42,5,6,1,1,0,0,0,1,1,.200,0,1,0,0,1,0,0,0,.200
3815,Mat Latos,- - -,17,5,5,1,0,0,0,1,1,1,.200,0,3,0,0,0,0,0,0,.200
8700,Justin Verlander,Tigers,34,5,5,1,1,0,0,0,1,0,.200,0,2,0,0,0,0,0,0,.200
9425,Doug Fister,Astros,32,5,7,1,1,0,0,0,0,2,.200,0,1,0,0,2,0,0,0,.200
11189,Vince Velasquez,Phillies,24,40,44,8,7,1,0,0,4,0,.200,0,16,0,0,3,1,0,0,.200
12756,Jake Esch,Marlins,3,5,5,1,1,0,0,0,1,0,.200,0,2,0,0,0,0,0,0,.200
13125,Gerrit Cole,Pirates,21,40,43,8,6,1,0,1,3,3,.200,0,19,1,0,2,0,0,0,.200
14165,Rob Whalen,Braves,6,10,11,2,2,0,0,0,0,0,.200,0,3,0,0,1,0,0,0,.200
14843,Michael Lorenzen,Reds,36,5,5,1,0,0,0,1,1,3,.200,0,2,0,0,0,0,0,0,.200
6175,Albert Suarez,Giants,22,21,24,4,2,2,0,0,1,2,.190,0,11,0,0,3,0,0,0,.190
7059,James Shields,- - -,33,21,23,4,4,0,0,0,1,0,.190,0,12,0,0,2,0,0,0,.190
10968,Tim Adleman,Reds,13,21,23,4,2,2,0,0,2,3,.190,0,11,0,0,2,0,0,0,.190
11762,Noah Syndergaard,Mets,31,58,67,11,5,3,0,3,6,6,.190,0,34,0,0,2,1,0,0,.190
4338,Tyler Chatwood,Rockies,27,53,58,10,9,0,1,0,3,4,.189,0,14,0,0,3,1,0,0,.189
11486,Robbie Ray,Diamondbacks,32,53,60,10,7,2,0,1,3,2,.189,0,26,0,0,6,0,0,0,.189
12447,Seth Lugo,Mets,17,16,18,3,2,1,0,0,2,1,.188,0,2,0,1,0,0,0,0,.188
12825,Joel De La Cruz,Braves,22,16,18,3,3,0,0,0,0,1,.188,0,8,0,0,2,1,0,0,.188
5524,Madison Bumgarner,Giants,36,86,97,16,7,6,0,3,8,9,.186,0,43,0,1,0,1,0,0,.186
3137,Max Scherzer,Nationals,34,70,85,13,12,1,0,0,4,12,.186,0,30,0,0,13,1,0,0,.186
1051,Jake Peavy,Giants,31,27,31,5,5,0,0,0,2,3,.185,0,12,0,0,2,0,0,0,.185
2047,Jorge de la Rosa,Rockies,27,38,42,7,7,0,0,0,4,6,.184,0,14,1,0,1,0,0,0,.184
6316,David Phelps,Marlins,64,11,13,2,2,0,0,0,0,1,.182,0,3,0,0,2,1,0,0,.182
8779,Wade Miley,- - -,30,11,12,2,2,0,0,0,1,0,.182,0,2,0,0,1,0,0,0,.182
9884,Travis Wood,Cubs,81,11,12,2,2,0,0,0,0,1,.182,0,5,0,0,0,0,0,0,.182
10946,Josh Smith,Reds,33,11,11,2,1,1,0,0,0,0,.182,0,4,0,0,0,0,0,0,.182
8782,Andrew Cashner,- - -,28,34,40,6,6,0,0,0,3,1,.176,0,13,0,0,3,0,0,0,.176
11589,Jose Urena,Marlins,29,17,22,3,3,0,0,0,1,0,.176,0,11,0,0,4,0,0,0,.176
2036,Clayton Kershaw,Dodgers,23,46,50,8,7,1,0,0,2,3,.174,0,12,0,0,3,0,0,0,.174
9895,Chris Rusin,Rockies,29,29,30,5,4,0,1,0,2,3,.172,0,6,0,0,1,0,0,0,.172
8137,Jaime Garcia,Cardinals,32,41,51,7,7,0,0,0,3,4,.171,0,17,0,1,7,0,0,0,.171
4020,Yusmeiro Petit,Nationals,36,6,7,1,1,0,0,0,0,0,.167,0,2,0,0,1,0,0,0,.167
4371,Jeremy Hellickson,Phillies,32,54,66,9,8,1,0,0,3,4,.167,0,24,0,0,8,1,0,0,.167
4676,Charlie Morton,Phillies,4,6,7,1,1,0,0,0,1,0,.167,0,3,0,0,1,1,0,0,.167
10603,Chris Sale,White Sox,32,6,6,1,1,0,0,0,0,0,.167,0,2,0,0,0,0,0,0,.167
7731,Juan Nicasio,Pirates,52,19,20,3,3,0,0,0,1,1,.158,0,7,0,0,1,0,0,0,.158
3254,Jeff Samardzija,Giants,34,64,69,10,5,5,0,0,4,9,.156,0,28,0,2,2,3,0,0,.156
12804,Matt Wisler,Braves,29,46,53,7,7,0,0,0,2,2,.152,0,21,0,1,5,2,0,0,.152
14916,Jon Gray,Rockies,29,47,55,7,5,2,0,0,2,4,.149,0,30,0,0,6,0,0,0,.149
3855,Brett Oberholtzer,Phillies,26,7,7,1,1,0,0,0,0,0,.143,0,2,0,0,0,0,0,0,.143
10130,Mike Leake,Cardinals,34,49,55,7,6,1,0,0,3,4,.143,0,19,0,0,3,3,0,0,.143
10954,Jacob deGrom,Mets,27,42,50,6,5,1,0,0,6,2,.143,0,12,0,0,5,1,0,0,.143
11426,Drew Pomeranz,- - -,31,35,37,5,4,0,0,1,2,4,.143,0,21,0,0,2,1,0,0,.143
14371,Jake Thompson,Phillies,10,14,17,2,1,1,0,0,0,0,.143,0,5,0,0,3,1,0,0,.143
14374,Tyler Glasnow,Pirates,7,7,7,1,1,0,0,0,0,0,.143,0,4,0,0,0,0,0,0,.143
10811,Mike Foltynewicz,Braves,22,36,42,5,4,1,0,0,3,1,.139,0,19,0,0,5,0,0,0,.139
13361,Steven Matz,Mets,24,36,45,5,3,1,1,0,0,2,.139,0,11,0,1,4,2,0,0,.139
12049,Kyle Hendricks,Cubs,32,58,68,8,8,0,0,0,1,2,.138,0,29,1,0,8,0,0,0,.138
11713,Matt Harvey,Mets,17,22,25,3,2,1,0,0,2,0,.136,0,8,0,0,3,1,0,0,.136
14765,Julio Urias,Dodgers,18,22,26,3,3,0,0,0,0,2,.136,0,9,0,0,4,1,0,0,.136
7448,Gio Gonzalez,Nationals,32,52,59,7,5,2,0,0,1,2,.135,0,24,1,1,5,0,0,0,.135
14682,Luis Perdomo,Padres,36,38,43,5,4,1,0,0,1,1,.132,0,15,1,0,3,0,0,0,.132
12664,Jerad Eickhoff,Phillies,33,61,62,8,5,3,0,0,4,5,.131,0,12,0,0,0,3,0,0,.131
7738,Wily Peralta,Brewers,23,39,41,5,3,1,0,1,2,6,.128,0,15,0,1,1,2,0,0,.128
2929,Jeff Locke,Pirates,31,32,39,4,4,0,0,0,0,0,.125,0,17,0,0,6,0,0,0,.125
4972,Cole Hamels,Rangers,32,8,8,1,1,0,0,0,0,0,.125,0,1,0,0,0,0,0,0,.125
6249,Trevor Cahill,Cubs,51,8,11,1,1,0,0,0,1,1,.125,0,4,0,0,2,0,0,0,.125
8753,Tanner Roark,Nationals,34,64,75,8,7,1,0,0,1,3,.125,0,25,0,0,6,0,0,0,.125
10197,Shelby Miller,Diamondbacks,21,32,34,4,2,1,1,0,4,0,.125,0,21,0,0,2,0,0,0,.125
10304,Jarred Cosart,- - -,13,16,18,2,2,0,0,0,1,0,.125,0,5,0,0,2,0,0,0,.125
13119,Taylor Jungmann,Brewers,8,8,8,1,1,0,0,0,1,0,.125,0,4,0,0,0,0,0,0,.125
18498,Kenta Maeda,Dodgers,35,57,66,7,5,1,0,1,5,4,.123,0,16,0,0,8,1,0,0,.123
13050,Anthony DeSclafani,Reds,20,41,43,5,4,1,0,0,0,1,.122,0,22,0,0,1,1,0,0,.122
14457,Adam Conley,Marlins,25,41,47,5,5,0,0,0,4,3,.122,0,22,0,1,4,1,0,0,.122
12317,Colin Rea,- - -,21,33,39,4,4,0,0,0,3,1,.121,0,16,0,0,4,0,0,0,.121
4897,Scott Kazmir,Dodgers,27,43,50,5,5,0,0,0,3,2,.116,0,24,0,0,6,1,0,0,.116
1994,Ivan Nova,- - -,32,26,28,3,3,0,0,0,1,0,.115,0,18,0,0,2,0,0,0,.115
15158,Braden Shipley,Diamondbacks,14,26,27,3,2,1,0,0,2,2,.115,0,10,0,0,1,0,1,0,.115
6893,Johnny Cueto,Giants,32,70,84,8,8,0,0,0,1,5,.114,0,24,0,1,11,2,0,0,.114
12880,Tyler Anderson,Rockies,20,35,42,4,3,0,0,1,1,3,.114,0,11,0,0,3,0,0,0,.114
16208,Brandon Finnegan,Reds,33,53,61,6,4,2,0,0,4,2,.113,0,18,0,0,5,2,0,0,.113
14862,Zack Godley,Diamondbacks,27,18,19,2,2,0,0,0,1,0,.111,0,9,0,0,1,0,0,0,.111
4930,Jon Lester,Cubs,33,59,75,6,3,3,0,0,3,6,.102,0,18,0,0,10,3,0,0,.102
4424,Jon Niese,- - -,30,30,34,3,2,1,0,0,1,1,.100,0,14,0,0,2,1,0,0,.100
8362,Homer Bailey,Reds,6,10,11,1,1,0,0,0,0,0,.100,0,1,0,0,0,1,0,0,.100
16727,Brock Stewart,Dodgers,7,10,10,1,1,0,0,0,0,0,.100,0,7,0,0,0,0,0,0,.100
6570,Tom Koehler,Marlins,33,51,56,5,5,0,0,0,1,4,.098,0,28,0,0,4,0,0,0,.098
1890,Matt Moore,- - -,33,31,35,3,3,0,0,0,2,0,.097,0,13,0,0,4,1,0,0,.097
1507,John Lackey,Cubs,29,63,69,6,4,2,0,0,1,2,.095,0,31,0,0,4,1,0,0,.095
13183,Zach Davies,Brewers,28,53,61,5,5,0,0,0,2,1,.094,0,22,0,0,7,0,0,0,.094
11674,Jameson Taillon,Pirates,18,32,36,3,3,0,0,0,0,2,.094,0,17,0,0,4,2,0,0,.094
12580,Adam Morgan,Phillies,23,32,36,3,2,1,0,0,1,1,.094,0,11,0,0,3,0,0,0,.094
4869,Mike Montgomery,Cubs,17,11,11,1,1,0,0,0,2,1,.091,0,5,0,0,0,0,0,0,.091
11754,Justin Nicolino,Marlins,18,22,24,2,2,0,0,0,0,0,.091,0,11,0,0,1,1,0,0,.091
13560,Alec Asher,Phillies,5,11,11,1,1,0,0,0,0,2,.091,0,6,0,0,0,0,0,0,.091
17130,Raisel Iglesias,Reds,37,11,11,1,1,0,0,0,0,0,.091,0,2,0,0,0,0,0,0,.091
6895,Chase Anderson,Brewers,31,45,52,4,4,0,0,0,3,1,.089,0,27,1,0,5,0,0,0,.089
14975,Chad Kuhl,Pirates,15,23,26,2,2,0,0,0,0,0,.087,0,9,0,0,2,0,0,0,.087
375,Bartolo Colon,Mets,34,60,65,5,2,2,0,1,4,2,.083,0,40,0,0,4,3,0,0,.083
13273,Ross Stripling,Dodgers,22,24,27,2,2,0,0,0,2,1,.083,0,12,0,0,1,0,0,0,.083
16400,Reynaldo Lopez,Nationals,11,12,14,1,1,0,0,0,0,0,.083,0,7,0,0,2,0,0,0,.083
10547,Jimmy Nelson,Brewers,32,50,59,4,4,0,0,0,1,3,.080,0,32,0,0,7,1,0,0,.080
4732,Matt Cain,Giants,21,27,28,2,0,1,0,1,1,5,.074,0,17,0,0,1,0,0,0,.074
2155,Alfredo Simon,Reds,15,14,19,1,1,0,0,0,0,1,.071,0,7,1,0,3,1,0,0,.071
3862,Rubby de la Rosa,Diamondbacks,13,14,17,1,1,0,0,0,0,1,.071,0,3,0,0,3,1,0,0,.071
15015,Alex Reyes,Cardinals,12,14,15,1,1,0,0,0,0,1,.071,0,5,0,0,1,1,0,0,.071
12918,Archie Bradley,Diamondbacks,26,43,48,3,3,0,0,0,2,4,.070,0,28,0,1,4,0,0,0,.070
13453,Eddie Butler,Rockies,17,15,19,1,1,0,0,0,0,0,.067,0,2,0,0,4,0,0,0,.067
13696,Robert Gsellman,Mets,9,15,17,1,1,0,0,0,0,0,.067,0,9,0,0,2,0,0,0,.067
3551,Clayton Richard,- - -,37,17,21,1,1,0,0,0,0,1,.059,0,9,0,0,3,0,0,0,.059
7942,Christian Friedrich,Padres,24,37,43,2,2,0,0,0,2,2,.054,0,23,0,0,3,1,0,0,.054
1011,Ryan Vogelsong,Pirates,24,19,23,1,1,0,0,0,1,1,.053,0,13,1,0,2,0,0,0,.053
12905,Logan Verrett,Mets,35,19,22,1,0,1,0,0,1,0,.053,0,12,0,0,3,0,0,0,.053
8493,John Lamb,Reds,14,20,22,1,1,0,0,0,0,0,.050,0,12,0,0,1,0,0,0,.050
14934,Aaron Blair,Braves,15,21,23,1,1,0,0,0,0,0,.048,0,9,0,0,2,0,0,0,.048
10587,Chad Bettis,Rockies,32,49,58,2,2,0,0,0,2,2,.041,0,21,0,0,5,1,0,0,.041
3340,Matt Garza,Brewers,19,28,33,1,1,0,0,0,1,0,.036,0,17,0,0,3,1,0,0,.036
16149,Aaron Nola,Phillies,20,30,35,1,0,1,0,0,1,0,.033,0,17,1,0,1,0,0,0,.033
14078,Michael Wacha,Cardinals,27,39,45,1,1,0,0,0,1,0,.026,0,22,0,0,3,1,0,0,.026
9460,Dan Straily,Reds,34,52,65,1,1,0,0,0,2,1,.019,0,40,0,0,11,0,0,0,.019
404,CC Sabathia,Yankees,30,1,2,0,0,0,0,0,0,0,.000,0,0,0,0,1,1,0,0,.000
1118,Marco Estrada,Blue Jays,29,5,5,0,0,0,0,0,0,0,.000,0,3,0,0,0,0,0,0,.000
