32.5%,425,98.6,102.5,120.3,519317,519317,16.0%,2015,93.6,51,batter,243,row_519317,Giancarlo Stanton,157,479,56.0
15.9%,413,93.7,97.9,119.0,443558,443558,9.0%,2015,89.7,59,batter,224,row_443558,Nelson Cruz,371,483,44.3
18.7%,409,93.2,96.7,117.7,545361,545361,10.6%,2015,89.0,72,batter,238,row_545361,Mike Trout,385,477,32.3
12.8%,419,90.8,94.3,117.1,471865,471865,7.7%,2015,88.4,47,batter,217,row_471865,Carlos Gonzalez,368,468,32.8
19.7%,404,92.2,96.6,116.6,448801,448801,10.1%,2015,86.3,68,batter,244,row_448801,Chris Davis,346,458,39.2
8.6%,409,91.0,95.4,116.6,434670,434670,5.8%,2015,88.8,25,batter,196,row_434670,Hanley Ramirez,291,481,35.3
12.1%,406,92.2,95.6,116.5,121347,121347,6.8%,2015,88.8,42,batter,220,row_121347,Alex Rodriguez,347,471,47.8
10.5%,412,93.5,94.9,116.5,444432,444432,6.2%,2015,93.7,34,batter,224,row_444432,Mark Trumbo,324,464,36.6
16.8%,407,93.6,95.7,116.3,430832,430832,9.6%,2015,92.2,64,batter,235,row_430832,Jose Bautista,380,461,37.1
11.0%,398,92.8,95.0,116.2,624585,624585,5.9%,2015,90.3,24,batter,220,row_624585,Jorge Soler,218,427,37.4
8.1%,404,92.6,95.6,116.1,444482,444482,4.8%,2015,90.2,25,batter,218,row_444482,David Peralta,310,442,35.9
5.0%,402,88.9,92.7,116.1,541645,541645,3.0%,2015,85.6,18,batter,201,row_541645,Avisail Garcia,360,454,40.0
27.8%,381,92.9,97.6,116.0,451713,451713,11.1%,2015,89.3,10,batter,244,row_451713,Carlos Peguero,36,425,43.8
16.5%,400,91.4,94.6,116.0,547180,547180,9.0%,2015,89.2,59,batter,230,row_547180,Bryce Harper,358,461,33.8
11.4%,402,91.4,96.8,115.7,434604,434604,5.8%,2015,86.9,15,batter,192,row_434604,Michael Morse,132,417,47.0
6.1%,398,90.4,92.3,115.6,570256,570256,3.8%,2015,89.8,25,batter,209,row_570256,Gregory Polanco,413,422,40.7
11.3%,404,94.5,97.6,115.6,408234,408234,7.2%,2015,91.8,37,batter,225,row_408234,Miguel Cabrera,326,454,42.3
3.9%,392,85.7,89.5,115.6,276519,276519,2.7%,2015,82.6,15,batter,208,row_276519,Jimmy Rollins,380,422,35.2
3.1%,402,86.6,88.9,115.2,461416,461416,1.8%,2015,87.7,7,batter,179,row_461416,Will Venable,229,428,37.6
9.1%,397,90.8,94.6,115.1,621043,621043,5.8%,2015,88.0,25,batter,210,row_621043,Carlos Correa,275,469,41.0
12.1%,403,91.6,94.9,115.1,518735,518735,6.4%,2015,90.3,27,batter,217,row_518735,Yasmani Grandal,224,439,28.3
13.0%,414,92.7,98.4,115.1,476883,476883,7.5%,2015,88.7,37,batter,202,row_476883,Pedro Alvarez,284,461,44.5
5.6%,404,88.5,93.2,115.1,150212,150212,3.5%,2015,84.5,14,batter,196,row_150212,Michael Cuddyer,252,434,35.1
11.1%,409,92.2,94.9,115.0,571506,571506,6.5%,2015,91.5,29,batter,214,row_571506,Justin Bour,262,453,44.9
20.8%,391,92.2,99.7,115.0,608336,608336,8.1%,2015,80.7,10,batter,216,row_608336,Joey Gallo,48,423,37.9
13.0%,397,93.2,96.1,115.0,624424,624424,8.2%,2015,88.8,16,batter,229,row_624424,Michael Conforto,123,444,47.0
11.4%,396,91.7,94.5,114.9,547989,547989,7.0%,2015,90.2,47,batter,212,row_547989,Jose Abreu,412,447,43.8
10.1%,399,92.4,94.5,114.9,592518,592518,6.3%,2015,92.0,45,batter,223,row_592518,Manny Machado,446,440,31.1
11.9%,410,93.2,95.7,114.9,460075,460075,6.9%,2015,91.5,39,batter,211,row_460075,Ryan Braun,329,474,36.9
5.8%,407,91.5,93.2,114.9,425902,425902,4.0%,2015,91.0,28,batter,210,row_425902,Prince Fielder,480,447,40.9
12.6%,413,90.8,94.8,114.7,570731,570731,7.5%,2015,88.4,24,batter,229,row_570731,Jonathan Schoop,190,485,31.4
7.0%,415,92.5,95.7,114.5,542303,542303,4.5%,2015,90.4,22,batter,201,row_542303,Marcell Ozuna,313,434,42.9
5.6%,,94.3,94.3,114.4,607776,607776,2.9%,2015,98.1,1,batter,217,row_607776,Mac Williamson,18,402,61.0
8.3%,415,91.0,94.6,114.4,435622,435622,4.5%,2015,89.5,29,batter,195,row_435622,Ian Desmond,348,477,35.1
15.0%,421,92.3,96.6,114.3,592626,592626,6.9%,2015,88.4,40,batter,217,row_592626,Joc Pederson,267,477,38.1
9.4%,401,90.4,93.5,114.2,592192,592192,5.6%,2015,88.4,27,batter,209,row_592192,Mark Canha,286,440,41.5
9.5%,402,90.0,94.1,114.2,543807,543807,5.3%,2015,85.4,24,batter,214,row_543807,George Springer,252,428,39.0
7.8%,406,91.0,92.0,114.2,452095,452095,4.4%,2015,92.4,16,batter,200,row_452095,Tyler Flowers,204,448,39.5
6.7%,402,91.3,95.9,114.2,467092,467092,4.6%,2015,88.5,23,batter,195,row_467092,Wilson Ramos,345,444,27.1
14.4%,408,93.0,94.6,114.1,446263,446263,7.8%,2015,89.9,43,batter,250,row_446263,Lucas Duda,299,456,42.6
13.0%,410,88.3,92.5,114.1,448602,448602,6.7%,2015,84.0,29,batter,217,row_448602,Mark Reynolds,223,451,34.9
8.1%,399,89.4,94.3,114.1,501896,501896,5.1%,2015,86.3,24,batter,195,row_501896,David Freese,295,451,39.7
15.5%,407,93.1,96.9,114.0,502671,502671,8.2%,2015,88.3,57,batter,243,row_502671,Paul Goldschmidt,368,471,34.6
13.3%,406,91.1,94.7,114.0,429665,429665,8.2%,2015,87.0,51,batter,218,row_429665,Edwin Encarnacion,384,462,29.4
6.3%,395,88.6,91.7,114.0,467055,467055,4.2%,2015,88.0,21,batter,197,row_467055,Pablo Sandoval,335,430,32.4
9.6%,404,91.6,93.6,114.0,405395,405395,6.8%,2015,90.0,45,batter,220,row_405395,Albert Pujols,468,454,36.2
11.8%,411,89.1,93.8,113.9,543068,543068,7.2%,2015,85.4,29,batter,214,row_543068,C.J. Cron,245,457,40.9
9.9%,407,90.5,94.8,113.9,543333,543333,6.2%,2015,88.0,41,batter,201,row_543333,Eric Hosmer,413,446,37.2
5.4%,421,88.8,90.6,113.9,573627,573627,3.3%,2015,87.9,6,batter,180,row_573627,Kennys Vargas,112,451,32.8
12.5%,397,90.3,93.5,113.9,457708,457708,7.1%,2015,87.9,44,batter,227,row_457708,Justin Upton,351,458,48.4
7.2%,390,90.9,94.7,113.8,517370,517370,4.2%,2015,87.1,16,batter,205,row_517370,Jimmy Paredes,222,432,40.1
6.3%,415,89.0,93.8,113.8,501647,501647,3.7%,2015,86.6,9,batter,198,row_501647,Wilin Rosario,144,460,41.2
22.4%,406,94.8,99.2,113.7,593934,593934,9.6%,2015,87.0,32,batter,250,row_593934,Miguel Sano,143,448,56.1
8.8%,399,90.0,92.1,113.7,489149,489149,5.7%,2015,89.9,29,batter,212,row_489149,Logan Morrison,329,442,37.1
15.8%,405,89.5,94.6,113.7,461235,461235,8.4%,2015,82.7,44,batter,235,row_461235,Brandon Moss,278,454,34.3
14.8%,408,92.9,96.5,113.6,518626,518626,9.4%,2015,89.6,67,batter,222,row_518626,Josh Donaldson,452,481,44.3
14.5%,405,93.8,96.6,113.6,120074,120074,9.3%,2015,90.7,57,batter,231,row_120074,David Ortiz,392,468,36.4
14.4%,414,90.7,95.8,113.5,452254,452254,9.0%,2015,86.5,20,batter,197,row_452254,Hunter Pence,139,450,38.6
5.7%,391,90.1,93.7,113.4,543543,543543,3.4%,2015,88.6,17,batter,201,row_543543,Brad Miller,297,436,37.7
18.7%,407,92.2,97.5,113.4,474892,474892,8.7%,2015,83.4,40,batter,250,row_474892,Chris Carter,214,454,38.9
